institution,paperappearance
UNIV SAARLAND;Saarland University,5053
Univ Nacl Rosario;National University of Rosario,5051
Univ Greifswald;Ernst Moritz Arndt Universitat Greifswald,5050
Oklahoma Med Res Fdn;Oklahoma Medical Research Foundation,5046
Univ Nacl Sur;National University of the South,5046
Polish Acad Sci;Polish Academy of Sciences;Institute of Nuclear Physics - Polish Academy of Sciences,5046
UNIV RHODE ISL;University of Rhode Island,5045
Tecnol Monterrey;Tecnologico de Monterrey,5044
Smithsonian Trop Res Inst;Smithsonian Institution;Smithsonian Tropical Research Institute,5042
Coll Charleston;College of Charleston,5040
Hebei Univ Sci & Technol;Hebei University of Science & Technology,5029
Catholic Univ Daegu;Catholic University of Daegu,5027
Univ Carthage;Universite de Carthage,5026
Geol Survey Canada;Natural Resources Canada;Lands & Minerals Sector - Natural Resources Canada;Geological Survey of Canada,5025
GUNMA UNIV;Gunma University,5025
Max Planck Inst Psychiat;Max Planck Society,5024
Politehn Univ Timisoara;Polytechnic University of Timisoara,5010
Berg Univ Wuppertal;University of Wuppertal,5010
Xinxiang Med Univ;Xinxiang Medical University,5009
UNIV ZAGREB;University of Zagreb,5003
Harbin Inst Technol;Harbin Institute of Technology;University Town of Shenzhen,5001
Natl Bur Econ Res;National Bureau of Economic Research,5001
Univ Zimbabwe;University of Zimbabwe,5001
Linnaeus Univ;Linnaeus University,4999
Univ Klinikum Heidelberg;Ruprecht Karls University Heidelberg,4995
Univ Hosp Basel;University of Basel,4991
Naval Univ Engn;Wuhan Naval University of Engineering,4989
Chelsea & Westminster Hosp;Imperial College London,4988
UNIV E ANGLIA;University of East Anglia,4988
FLINDERS UNIV S AUSTRALIA;Flinders University South Australia,4988
Baqiyatallah Univ Med Sci;Baqiyatallah University of Medical Sciences (BMSU),4988
NTNU;Norwegian University of Science & Technology (NTNU),4987
Univ Lagos;University of Lagos,4985
UNIV YORK;University of York - UK,4981
Saratov NG Chernyshevskii State Univ;Saratov State University,4980
Max Planck Gesell;Max Planck Society;Fritz Haber Institute of the Max Planck Society,4976
Tshwane Univ Technol;Tshwane University of Technology,4975
Liaoning Normal Univ;Liaoning Normal University,4973
China Acad Chinese Med Sci;China Academy of Chinese Medical Sciences,4967
Univ Sannio;University of Sannio,4966
CHAIM SHEBA MED CTR;Chaim Sheba Medical Center,4965
Ankara Numune Training & Res Hosp;Ankara Numune Training & Research Hospital,4965
Catharina Hosp;Catharina Hospital,4965
Henan Univ Technol;Henan University of Technology,4965
Univ Klinikum Munster;University of Munster,4963
Natl Ctr Child Hlth & Dev;National Center for Child Health & Development - Japan,4960
Hunan Agr Univ;Hunan Agricultural University,4955
Jiangsu Normal Univ;Jiangsu Normal University,4947
Princess Margaret Canc Ctr;University of Toronto;University Health Network Toronto;Princess Margaret Cancer Centre,4943
Univ Leoben;University of Leoben,4941
Univ South Africa;University of South Africa,4938
Changwon Natl Univ;Changwon National University,4937
Kyoto Univ Hosp;Kyoto University,4937
Chinese Acad Fishery Sci;Chinese Academy of Fishery Sciences,4934
Morehouse Sch Med;Morehouse College;Morehouse School of Medicine,4934
Tech Univ Crete;Technical University of Crete,4933
Ctr Hosp Lyon Sud;CHU Lyon,4930
KTH;Royal Institute of Technology,4924
Kharkov Natl Univ;VN Karazin Kharkiv National University,4920
Indian Vet Res Inst;Indian Council of Agricultural Research (ICAR);ICAR - Indian Veterinary Research Institute,4918
Shibaura Inst Technol;Shibaura Institute of Technology,4913
Univ Ottawa;University of Ottawa;University of Ottawa Heart Institute,4912
Mercer Univ;Mercer University,4911
New York Presbyterian Hosp;Cornell University;NewYork-Presbyterian Hospital,4911
Novartis Inst Biomed Res;Novartis,4910
Monash Med Ctr;Monash University,4907
St Michaels Hosp;University of Toronto;Li Ka Shing Knowledge Institute;Saint Michaels Hospital Toronto,4907
Suranaree Univ Technol;Suranaree University of Technology,4902
Iowa State Univ Sci & Technol;Iowa State University,4900
CIRAD;CIRAD,4897
CEA Saclay;CEA;Centre National de la Recherche Scientifique (CNRS);Universite Paris Saclay,4892
Andhra Univ;Andhra University,4891
Anhui Univ Technol;Anhui University of Technology,4889
Natl Inst Agrobiol Sci;National Institute of Agrobiological Sciences - Japan,4888
Bohai Univ;Bohai University,4883
Samsung Adv Inst Technol;Samsung,4882
UNIV TEXAS;University of Texas System;University of Texas Health Science Center Houston,4882
Univ Molise;University of Molise,4879
ETH Honggerberg;ETH Zurich,4875
INST GUSTAVE ROUSSY;UNICANCER;Gustave Roussy,4874
European Univ Inst;European University Institute,4873
UPMC;Pennsylvania Commonwealth System of Higher Education (PCSHE);University of Pittsburgh,4871
Appalachian State Univ;University of North Carolina;Appalachian State University,4867
LA TROBE UNIV;La Trobe University,4867
Kingston Univ;Kingston University,4865
Allegheny Gen Hosp;Allegheny General Hospital,4864
UNIV NEW HAMPSHIRE;University System Of New Hampshire;University of New Hampshire,4863
Childrens Hosp Pittsburgh;Pennsylvania Commonwealth System of Higher Education (PCSHE);University of Pittsburgh,4862
Cracow Univ Technol;Cracow University of Technology,4862
Glasgow Royal Infirm;University of Glasgow,4859
NATL AUTONOMOUS UNIV MEXICO;Universidad Nacional Autonoma de Mexico,4858
Iowa State Univ;Iowa State University;United States Department of Energy (DOE);Ames National Laboratory,4854
Wellesley Coll;Wellesley College,4850
Pfizer;Pfizer,4848
Tokyo Denki Univ;Tokyo Denki University,4847
Natl Kaohsiung Univ Appl Sci;National Kaohsiung University of Science & Technology,4844
Semnan Univ;Semnan University,4841
Univ Aix Marseille 1;Aix-Marseille Universite,4840
Toranomon Gen Hosp;Toranomon Hospital,4839
Univ Oxford;University of Oxford;Wellcome Centre for Human Genetics,4839
Malmo Univ;Malmo University,4838
NATL INST MED RES;MRC National Institute for Medical Research,4837
Natl Inst Technol;National Institute of Technology Rourkela,4833
Finnish Meteorol Inst;Finnish Meteorological Institute,4830
"Chinese Acad Sci;Chinese Academy of Sciences;South China Sea Institute of Oceanology, CAS",4829
Univ Navarra Clin;University of Navarra,4829
UNIV NEVADA;Nevada System of Higher Education (NSHE);University of Nevada Reno,4829
Yazd Univ;University of Yazd,4828
RUSSIAN ACAD SCI;Russian Academy of Sciences,4828
Rush Presbyterian St Lukes Med Ctr;Rush University,4827
Siberian Fed Univ;Siberian Federal University,4827
Southampton Gen Hosp;University of Southampton,4826
Thapar Univ;Thapar Institute of Engineering & Technology,4826
UNIV NATAL;University of Kwazulu Natal,4820
Univ Prince Edward Isl;University of Prince Edward Island,4818
St Petersburg State Polytech Univ;Peter the Great St. Petersburg Polytechnic University,4814
KITASATO UNIV;Kitasato University,4812
ERASMUS UNIV ROTTERDAM;Erasmus University Rotterdam,4811
CNRS;Aix-Marseille Universite;Centre National de la Recherche Scientifique (CNRS),4808
Air Force Engn Univ;Air Force Engineering University,4807
UNIV AKRON;University of Akron,4807
CHU Caen;CHU de Caen NORMANDIE,4806
Russian Acad Sci;Research Center of Biotechnology RAS;Russian Academy of Sciences,4804
Shaare Zedek Med Ctr;Shaare Zedek Medical Center,4803
Univ London Birkbeck Coll;University of London;Birkbeck University London,4802
Benha Univ;Benha University,4801
SUNY DOWNSTATE MED CTR;State University of New York (SUNY) System;State University of New York (SUNY) Downstate Medical Center,4799
Bharathidasan Univ;Bharathidasan University,4798
Indian Agr Res Inst;Indian Council of Agricultural Research (ICAR);ICAR - Indian Agricultural Research Institute,4780
UNIV MISSOURI;University of Missouri System;University of Missouri Kansas City,4779
Yonsei Univ;Yonsei University Health System,4779
Ist Nazl Tumori;Fondazione IRCCS Istituto Nazionale Tumori Milan,4778
Univ Strasbourg;Centre National de la Recherche Scientifique (CNRS);Universites de Strasbourg Etablissements Associes;Universite de Strasbourg,4775
St Marys Univ;Saint Marys University - Canada,4773
BANARAS HINDU UNIV;Banaras Hindu University,4771
Sun Yat Sen Univ;State Key Lab Oncology South China;Sun Yat Sen University,4768
New York Presbyterian Hosp;NewYork-Presbyterian Hospital,4766
Nova SE Univ;Nova Southeastern University,4765
London Sch Econ & Polit Sci;University of London;London School Economics & Political Science,4765
SEMMELWEIS UNIV MED;Semmelweis University,4764
Univ Hosp Cleveland;University Hospitals of Cleveland,4759
Japan Soc Promot Sci;Japan Society for the Promotion of Science,4756
Lanzhou Jiaotong Univ;Lanzhou Jiaotong University,4755
CHU Nancy;CHU de Nancy,4755
Publ Hlth Agcy Canada;Public Health Agency of Canada,4754
Lincoln Univ;Lincoln University,4754
Rothamsted Res;Rothamsted Research,4753
St Bartholomews Hosp;University of London;Queen Mary University London,4749
Univ Fed Piaui;Universidade Federal do Piaui,4748
Univ Peradeniya;University of Peradeniya,4746
CSIRO Land & Water;Commonwealth Scientific & Industrial Research Organisation (CSIRO),4744
Natl Inst Med Res;MRC National Institute for Medical Research,4743
Malmo Univ Hosp;Lund University;Skane University Hospital,4742
Univ Ancona;Marche Polytechnic University,4741
Auckland City Hosp;Auckland City Hospital,4738
INST PHYS & CHEM RES;RIKEN,4734
Mid Sweden Univ;Mid-Sweden University,4733
Univ London Kings Coll;University of London;Kings College London,4729
Univ Nat Resources & Life Sci;University of Bodenkultur Wien,4725
CNRS;Centre National de la Recherche Scientifique (CNRS);CNRS - Institute of Chemistry (INC),4721
Deutsch Krebsforschungszentrum;Helmholtz Association;German Cancer Research Center (DKFZ),4718
MAX PLANCK INST BIOCHEM;Max Planck Society,4718
IFW Dresden;Institute for Integrative Nanosciences (IIN);Leibniz Institute for Solid State & Materials Research Dresden,4714
VIB;Flanders Institute for Biotechnology,4712
Natl Pingtung Univ Sci & Technol;National Pingtung University Science & Technology,4711
ETH Zurich;ETH Zurich,4705
Inst Mol Sci;National Institutes of Natural Sciences (NINS) - Japan;Institute for Molecular Science (IMS),4704
Pondicherry Univ;Pondicherry University,4702
Goethe Univ;Goethe University Frankfurt,4696
Jilin Agr Univ;Jilin Agricultural University,4696
UNIV UPPSALA HOSP;Uppsala University;Uppsala University Hospital,4696
Towson Univ;University System of Maryland;Towson University,4690
Univ Richmond;University of Richmond,4681
Univ Allahabad;University of Allahabad,4679
Univ Baghdad;University of Baghdad,4678
Taibah Univ;Taibah University,4677
"Chinese Acad Sci;Chinese Academy of Sciences;Institute of Coal Chemistry, CAS",4674
Wroclaw Univ Environm & Life Sci;Wroclaw University of Environmental & Life Sciences,4669
UNIV TOKUSHIMA;Tokushima University,4669
Transilvania Univ Brasov;Transylvania University of Brasov,4666
"Chinese Acad Sci;Chinese Academy of Sciences;Cold & Arid Regions Environmental & Engineering Research Institute, CAS",4665
HOFFMANN LA ROCHE INC;Roche Holding,4663
Cent Drug Res Inst;Council of Scientific & Industrial Research (CSIR) - India;CSIR - Central Drug Research Institute (CDRI),4658
Max Planck Inst Chem;Max Planck Society,4658
Helmholtz Zentrum Dresden Rossendorf;Helmholtz Association;Helmholtz-Zentrum Dresden-Rossendorf (HZDR),4657
Russian Acad Sci;Russian Academy of Sciences;Institute of Bioorganic Chemistry of the Russian Academy of Sciences,4656
Univ Estadual Paulista UNESP;Universidade Estadual Paulista,4655
Univ Paris 06;Institut National de la Sante et de la Recherche Medicale (Inserm);Sorbonne Universite,4652
Univ London Imperial Coll Sci & Technol;Imperial College London,4649
CHILDRENS HOSP MED CTR;Harvard University;VA Boston Healthcare System;Boston Children's Hospital,4649
Univ Rennes 1;Centre National de la Recherche Scientifique (CNRS);Universite de Rennes 1,4648
Seoul Natl Univ Sci & Technol;Seoul National University of Science & Technology,4645
Univ Paris 05;Institut National de la Sante et de la Recherche Medicale (Inserm);Universite de Paris;University of Paris Descartes,4645
State Univ Ghent Hosp;Ghent University;Ghent University Hospital,4638
Univ Hosp Erlangen;University of Erlangen Nuremberg,4636
HEBREW UNIV;Hebrew University of Jerusalem,4635
Tech Univ Munich;Technical University of Munich;University of Munich,4631
Univ Namur;University of Namur,4631
Natl Hosp Neurol & Neurosurg;University of London;University College London;UCL Medical School;University College London Hospitals NHS Foundation Trust,4629
"Chinese Acad Sci;Chinese Academy of Sciences;Institute of Hydrobiology, CAS",4626
Wenzhou Med Coll;Wenzhou Medical University,4626
Barts & London Queen Marys Sch Med & Dent;University of London;Queen Mary University London,4626
Univ Buffalo;State University of New York (SUNY) System;State University of New York (SUNY) Buffalo,4625
Inst Appl Phys & Computat Math;Institute of Applied Physics & Computational Mathematics - China,4625
Shivaji Univ;Shivaji University,4624
UNIV DELHI;University of Delhi,4621
Basque Fdn Sci;Basque Foundation for Science,4618
Chubu Univ;Chubu University,4615
TEAGASC;Teagasc,4615
Sunchon Natl Univ;Sunchon National University,4611
ROYAL INST TECHNOL;Royal Institute of Technology,4610
UNIV MAINE;University of Maine;University of Maine System;University of Maine Orono,4605
KOREA ADV INST SCI & TECHNOL;Korea Advanced Institute of Science & Technology (KAIST),4603
Duzce Univ;Duzce University,4602
UNIV KUOPIO;University of Eastern Finland,4602
Wroclaw Univ Sci & Technol;Wroclaw University of Science & Technology,4602
New Mexico Inst Min & Technol;New Mexico Institute of Mining Technology,4596
UNIV PARIS 06;Centre National de la Recherche Scientifique (CNRS);Sorbonne Universite,4595
Amity Univ;Amity University,4594
UNIV IDAHO;University of Idaho,4590
UNIV FERRARA;University of Ferrara,4590
GRAZ UNIV;University of Graz,4590
Churchill Hosp;University of Oxford,4589
USTHB;University Science & Technology Houari Boumediene,4587
Inst Child Hlth;University of London;University College London,4587
Sri Venkateswara Univ;Sri Venkateswara University,4586
Grand Valley State Univ;Grand Valley State University,4584
Danish Canc Soc;Danish Cancer Society,4583
UMIST;University of Manchester,4582
Univ W Indies;University of the West Indies,4581
NEW MEXICO STATE UNIV;New Mexico State University,4581
Royal Mil Coll Canada;Royal Military College - Canada,4578
Natl Chiayi Univ;National Chiayi University,4577
Univ Louisiana Lafayette;University of Louisiana Lafayette,4576
Amer Univ;American University,4574
UNIV LANCASTER;Lancaster University,4574
Chinese Acad Med Sci;Chinese Academy of Medical Sciences - Peking Union Medical College;Cancer Institute & Hospital - CAMS,4573
Wolverhampton Univ;University of Wolverhampton,4570
Dublin Inst Technol;Technological University Dublin,4569
STATE UNIV LEIDEN;Leiden University,4562
"Chinese Acad Sci;Chinese Academy of Sciences;Institute of Genetics & Developmental Biology, CAS",4562
Univ Rajasthan;University of Rajasthan,4562
CNRS;Centre National de la Recherche Scientifique (CNRS);CNRS - National Institute of Nuclear and Particle Physics (IN2P3),4560
Yunnan Normal Univ;Yunnan Normal University,4551
Mitsubishi Electr Corp;Mitsubishi Electric Corporation,4550
"Chinese Acad Sci;Chinese Academy of Sciences;Shanghai Institute of Technical Physics, CAS",4550
GSF;Helmholtz Association;Helmholtz-Center Munich - German Research Center for Environmental Health,4549
IRD;Institut de Recherche pour le Developpement (IRD),4548
Tech Univ Catalonia;Polytechnic University of Catalonia,4547
Nara Womens Univ;Nara Womens University,4547
Univ Sonora;Universidad de Sonora,4547
Novosibirsk State Tech Univ;Novosibirsk State Technical University,4541
Jackson State Univ;Jackson State University,4540
Kochi Med Sch;Kochi University,4534
MT SINAI MED CTR;Icahn School of Medicine at Mount Sinai,4532
Univ Sarajevo;University of Sarajevo,4532
NIDA;National Institutes of Health (NIH) - USA;NIH National Institute on Drug Abuse (NIDA),4531
Shanghai Univ Engn Sci;Shanghai University of Engineering Science,4531
UNIV ATHENS;University of Athens,4526
Charles Darwin Univ;Charles Darwin University,4526
City Hope Natl Med Ctr;City of Hope;Beckman Research Institute of City of Hope,4521
Texas A&M Univ;Texas A&M University System;Texas A&M University College Station;Texas A&M Health Science Center,4521
CENS;CEA,4520
Natl Univ Ireland Univ Coll Dublin;University College Dublin,4519
Vancouver Gen Hosp;University of British Columbia,4517
Univ Winnipeg;University of Winnipeg,4516
Izmir Inst Technol;Izmir Institute of Technology,4515
Univ Melbourne;Royal Melbourne Hospital;University of Melbourne,4514
St Pauls Hosp;St. Paul's Hospital,4513
Univ Catolica Norte;Universidad Catolica del Norte,4513
UNIV LONDON;University of London,4513
Univ Toronto;University of Toronto;University Toronto Mississauga,4511
Natl Res Tomsk State Univ;Tomsk State University,4510
Pasteur Inst Iran;Le Reseau International des Instituts Pasteur (RIIP);Pasteur Institute of Iran,4510
Voronezh State Univ;Voronezh State University,4509
Max Planck Inst Evolutionary Anthropol;Max Planck Society,4508
NASA;National Aeronautics & Space Administration (NASA);NASA Marshall Space Flight Center,4505
Natl Ctr Global Hlth & Med;National Center for Global Health & Medicine - Japan,4502
Univ Campania Luigi Vanvitelli;Universita della Campania Vanvitelli,4502
Ecole Normale Super;Ecole Normale Superieure (ENS),4501
Univ Quebec Montreal;University of Quebec;University of Quebec Montreal,4500
Univ Colorado;University of Colorado System;University of Colorado at Colorado Springs,4500
Univ Lille Nord France;Fondation I-SITE ULNE;Universite de Lille,4499
Univ Lecce;University of Salento,4497
Szent Istvan Univ;Szent Istvan University,4494
CHINESE UNIV HONG KONG;Chinese University of Hong Kong,4492
Inst Mexicano Seguro Social;Instituto Mexicano del Seguro Social,4491
Natl Taiwan Univ;National Taiwan University;National Taiwan University Hospital,4491
Rutgers New Jersey Med Sch;Rutgers State University New Brunswick;Rutgers State University Medical Center,4486
Norwegian Radium Hosp;University of Oslo,4484
Maharaja Sayajirao Univ Baroda;Maharaja Sayajirao University Baroda,4482
Univ Autonoma Estado Morelos;Universidad Autonoma del Estado de Morelos,4480
Bialystok Tech Univ;Bialystok University of Technology,4479
China Meteorol Adm;China Meteorological Administration,4476
Univ Calif Merced;University of California System;University of California Merced,4476
MED COLL PENN;Drexel University,4475
Liaoning Univ;Liaoning University,4473
Kennesaw State Univ;University System of Georgia;Kennesaw State University,4470
Sam Houston State Univ;Texas State University System;Sam Houston State University,4469
Univ Fed Alagoas;Universidade Federal de Alagoas,4468
Middle Tennessee State Univ;Middle Tennessee State University,4465
Ben Gurion Univ Negev;Ben Gurion University;Soroka Medical Center,4465
Northwest Normal Univ;Northwest Normal University - China,4463
Peking Univ;Peking University;University Town of Shenzhen,4462
Mayo Clin Arizona;Mayo Clinic,4461
Georgia So Univ;University System of Georgia;Georgia Southern University,4461
UNIV CAGLIARI;University of Cagliari,4460
Nanyang Technol Univ;Nanyang Technological University & National Institute of Education (NIE) Singapore;Nanyang Technological University;National Institute of Education (NIE) Singapore,4459
Osped Riuniti Bergamo;Hospital Riuniti di Bergamo,4457
Hubei Univ Technol;Hubei University of Technology,4455
UNICAMP;Universidade Estadual de Campinas,4455
Broad Inst MIT & Harvard;Harvard University;Massachusetts Institute of Technology (MIT);Broad Institute,4452
Univ Bordeaux;Centre National de la Recherche Scientifique (CNRS);Universite de Bordeaux,4447
Univ Tubingen Hosp;Eberhard Karls University of Tubingen;EBERHARD KARLS UNIVERSITY HOSPITAL,4446
Lebanese Univ;Lebanese University,4444
Bond Univ;Bond University,4443
CUNY Brooklyn Coll;City University of New York (CUNY) System;Brooklyn College (CUNY),4442
Maine Med Ctr;Maine Medical Center,4439
Anglia Ruskin Univ;Anglia Ruskin University,4438
Singapore Management Univ;Singapore Management University,4437
CHU Clermont Ferrand;CHU Clermont Ferrand,4435
UNIV PALERMO;University of Palermo,4427
Univ Urbino;University of Urbino,4424
Univ Med Ctr Ljubljana;University of Ljubljana,4423
Catholic Univ Louvain;Universite Catholique Louvain;Cliniques Universitaires Saint-Luc,4422
Rzeszow Univ Technol;Rzeszow University of Technology,4422
Univ Fed Mato Grosso do Sul;Universidade Federal de Mato Grosso do Sul,4422
Toyama Med & Pharmaceut Univ;University of Toyama,4419
Cold Spring Harbor Lab;Cold Spring Harbor Laboratory,4419
Inst Politecn Nacl;CINVESTAV - Centro de Investigacion y de Estudios Avanzados del Instituto Politecnico Nacional;Instituto Politecnico Nacional - Mexico,4415
UNIV VALENCIA;University of Valencia,4414
Univ Vet Med;University of Veterinary Medicine Vienna,4412
Philips Res Labs;Philips;Philips Research,4412
UNIV AUTONOMA BARCELONA;Autonomous University of Barcelona,4411
Bucharest Univ Econ Studies;Bucharest University of Economic Studies,4411
Yerevan State Univ;Yerevan State University,4408
Calif State Univ Sacramento;California State University System;California State University Sacramento,4406
IMPERIAL CANC RES FUND;Cancer Research UK,4405
MIDDLESEX HOSP;University of London;University College London,4404
Polish Acad Sci;Polish Academy of Sciences;Institute of Physical Chemistry of the Polish Academy of Sciences,4402
Korea Inst Ind Technol;Korea Institute of Industrial Technology (KITECH),4397
UNIV SIENA;University of Siena,4394
SHINSHU UNIV;Shinshu University,4387
Copenhagen Business Sch;Copenhagen Business School,4381
LINKOPING UNIV;Linkoping University,4381
UNIV ST ANDREWS;University of St Andrews,4379
Univ S Dakota;University of South Dakota,4377
Carnegie Inst Washington;Carnegie Institution for Science,4375
German Aerosp Ctr;Helmholtz Association;German Aerospace Centre (DLR),4373
UNIST;Ulsan National Institute of Science & Technology (UNIST),4373
Akershus Univ Hosp;University of Oslo,4372
Univ Autonoma Baja California;Universidad Autonoma de Baja California,4372
Univ Talca;Universidad de Talca,4372
Walter Reed Natl Mil Med Ctr;Walter Reed National Military Medical Center,4370
Univ Med & Pharm Craiova;University of Medicine & Pharmacy of Craiova,4367
Univ Hosp Wurzburg;University of Wurzburg,4366
ALL INDIA INST MED SCI;All India Institute of Medical Sciences (AIIMS) New Delhi,4365
Southern Illinois Univ;Southern Illinois University System;Southern Illinois University,4365
BHABHA ATOM RES CTR;Bhabha Atomic Research Center,4360
Harvard Univ;Harvard University;VA Boston Healthcare System;Beth Israel Deaconess Medical Center,4357
Brunel Univ London;Brunel University,4357
UNIV HOSP UPPSALA;Uppsala University;Uppsala University Hospital,4352
Univ Rzeszow;University of Rzeszow,4351
Amer Red Cross;American Red Cross,4344
Ullevaal Univ Hosp;University of Oslo,4340
Univ Zaragoza;Consejo Superior de Investigaciones Cientificas (CSIC);CSIC - Instituto de Ciencia de Materiales de Aragon (ICMA);University of Zaragoza,4337
Near East Univ;Near East University,4336
GOTHENBURG UNIV;Sahlgrenska University Hospital;University of Gothenburg,4335
Univ W Bohemia;University of West Bohemia Pilsen,4335
Univ Bordeaux 2;Universite de Bordeaux,4335
Univ Burgos;Universidad de Burgos,4334
Seton Hall Univ;Seton Hall University,4332
Naresuan Univ;Naresuan University,4332
Inst Clin & Expt Med;Institute for Clinical & Experimental Medicine (IKEM),4331
Russian Acad Sci;Russian Academy of Sciences;Joint Institute for High Temperatures of the Russian Academy of Sciences,4330
SCI UNIV TOKYO;Tokyo University of Science,4329
Hofstra Univ;Hofstra University,4327
Samsung Med Ctr;Sungkyunkwan University (SKKU);Samsung Medical Center,4324
Childrens Mercy Hosp;Children's Mercy Hospital,4324
Beni Suef Univ;Beni Suef University,4324
MD Anderson Canc Ctr;University of Texas System;UTMD Anderson Cancer Center,4324
Aberdeen Royal Infirm;University of Aberdeen,4323
UNIV BATH;University of Bath,4323
Russian Acad Sci;Russian Academy of Sciences;Nikolaev Institute of Inorganic Chemistry of the Russian Academy of Sciences,4317
UNIV HULL;University of Hull,4316
St Jude Childrens Hosp;St Jude Children's Research Hospital,4315
Rouen Univ Hosp;CHU de Rouen,4313
Univ Paris 06;Assistance Publique Hopitaux Paris (APHP);Hopital Universitaire Pitie-Salpetriere - APHP;Sorbonne Universite,4313
Univ Quebec;University of Quebec,4311
UNIV MISSISSIPPI;University of Mississippi,4309
Commiss European Communities;European Commission Joint Research Centre;EC JRC ISPRA Site,4308
Univ Wuppertal;University of Wuppertal,4306
Ist Giannina Gaslini;University of Genoa;IRCCS Istituto Giannina Gaslini,4305
Russian Acad Sci;Russian Academy of Sciences;Institute for Nuclear Research of the Russian Academy of Sciences,4304
GERMAN CANC RES CTR;Helmholtz Association;German Cancer Research Center (DKFZ),4303
UNSW;University of New South Wales Sydney,4301
Univ Grenoble 1;Centre National de la Recherche Scientifique (CNRS);Communaute Universite Grenoble Alpes;Universite Grenoble Alpes (UGA),4301
Air Force Res Lab;United States Department of Defense;United States Air Force;US Air Force Research Laboratory,4299
UNIV PARIS 07;Universite de Paris;University of Paris Diderot,4297
NYU;New York University;New York University Tandon School of Engineering,4295
"Chinese Acad Sci;Chinese Academy of Sciences;Institute of Theoretical Physics, CAS",4294
UNIV ROME;Sapienza University Rome;University of Rome Tor Vergata,4294
Tennessee Technol Univ;Tennessee Technological University,4293
Acad Mil Med Sci;Academy of Military Medical Sciences - China,4293
Univ San Francisco;University of San Francisco,4292
Univ Estadual Campinas;Universidade de Sao Paulo;Universidade Estadual de Campinas,4289
Indian Inst Technol Kanpur;Indian Institute of Technology System (IIT System);Indian Institute of Technology (IIT) - Kanpur,4289
Natl Formosa Univ;National Formosa University,4287
Univ Autonoma Metropolitana;Universidad Autonoma Metropolitana - Mexico,4286
Hosp Santa Maria;Universidade de Lisboa;Hospital Santa Maria,4286
Ctr Ecol & Hydrol;UK Centre for Ecology & Hydrology (UKCEH),4285
Far Eastern Mem Hosp;Far Eastern Memorial Hospital,4284
Williams Coll;Williams College,4282
Zhengzhou Univ Light Ind;Zhengzhou University of Light Industry,4282
"Chinese Acad Sci;Chinese Academy of Sciences;The Institute of Remote Sensing & Digital Earth, CAS",4281
Univ Agder;University of Agder,4280
Fdn IRCCS Ca Granda Osped Maggiore Policlin;IRCCS Ca Granda Ospedale Maggiore Policlinico,4279
Hosp Italiano Buenos Aires;Hospital Italiano de Buenos Aires;University of Buenos Aires,4279
USC;University of Southern California,4276
SWEDISH UNIV AGR SCI;Swedish University of Agricultural Sciences,4273
MONTANA STATE UNIV;Montana State University;Montana State University System;Montana State University Bozeman,4273
Univ Sevilla;University of Sevilla,4271
"Univ Groningen, Univ Med Ctr Groningen;University of Groningen",4271
Henan Agr Univ;Henan Agricultural University,4269
Sichuan Normal Univ;Sichuan Normal University,4268
MISSISSIPPI STATE UNIV;Mississippi State University,4263
Beijing Technol & Business Univ;Beijing Technology & Business University,4261
Smithsonian Inst;Smithsonian Institution,4258
Max Planck Inst Mol Genet;Max Planck Society,4258
Qilu Univ Technol;Qilu University of Technology,4258
Univ Sharjah;University of Sharjah,4257
Aoyama Gakuin Univ;Aoyama Gakuin University,4256
Univ Hosp Regensburg;University of Regensburg,4254
Taras Shevchenko Natl Univ Kyiv;Taras Shevchenko National University Kiev,4254
Sookmyung Womens Univ;Sookmyung Women's University,4253
Univ Bergamo;University of Bergamo,4252
KYOTO PREFECTURAL UNIV MED;Kyoto Prefectural University of Medicine,4246
UNIV ARKANSAS MED SCI;University of Arkansas System;University of Arkansas Medical Sciences,4246
CREIGHTON UNIV;Creighton University,4245
Kafkas Univ;Kafkas University,4241
Korea Inst Energy Res;Korea Institute of Energy Research (KIER),4239
Childrens Hosp Colorado;Children's Hospital Colorado,4239
Univ Zielona Gora;University of Zielona Gora,4238
UNIV PARIS 11;Centre National de la Recherche Scientifique (CNRS);Universite Paris Saclay;Universite Paris Sud - Paris 11,4237
BETH ISRAEL HOSP;Harvard University;Beth Israel Deaconess Medical Center,4236
Univ London;University of London;University of London School Oriental & African Studies (SOAS),4234
HUDDINGE UNIV HOSP;Karolinska Institutet,4234
LOUISIANA STATE UNIV;Louisiana State University System;Louisiana State University;Louisiana State University Health Sciences Center at Shreveport,4232
Univ London Royal Vet Coll;University of London;University of London Royal Veterinary College,4225
CUNY Queens Coll;City University of New York (CUNY) System;Queens College NY (CUNY),4223
Univ San Diego;University of San Diego,4223
Bangladesh Univ Engn & Technol;Bangladesh University Engineering & Technology,4222
Obihiro Univ Agr & Vet Med;Obihiro University of Agriculture & Veterinary Medicine,4219
Univ Lille;Fondation I-SITE ULNE;Universite de Lille,4219
Max Planck Inst Plasma Phys;Max Planck Society,4219
Nanchang Hangkong Univ;Nanchang Hangkong University,4218
KATHOLIEKE UNIV LEUVEN;KU Leuven,4218
Okayama Univ Sci;Okayama University of Science,4216
Anhui Univ Sci & Technol;Anhui University of Science & Technology,4213
Shanghai Inst Technol;Shanghai Institute of Technology,4212
Daegu Univ;Daegu University,4211
